food_id,name,protein,fat,carbs,calories,fiber,sodium,sugar
322238,"MILK, SKIM ",NULL,0.08,NULL,NULL,NULL,NULL,NULL
322245,"MILK, SKIM ",NULL,0.03,NULL,NULL,NULL,NULL,NULL
322253,"MILK, SKIM ",NULL,0.09,NULL,NULL,NULL,NULL,NULL
322256,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,38,NULL
322272,"MILK, SKIM ",NULL,0.07,NULL,NULL,NULL,NULL,NULL
322275,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,39,NULL
322291,"MILK, SKIM ",NULL,0.14,NULL,NULL,NULL,NULL,NULL
322294,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,41,NULL
322310,"MILK, SKIM ",NULL,0.07,NULL,NULL,NULL,NULL,NULL
322316,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,40,NULL
322333,"MILK, SKIM ",NULL,0.08,NULL,NULL,NULL,NULL,NULL
322336,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,40,NULL
322353,"MILK, 1%",NULL,0.07,NULL,NULL,NULL,NULL,NULL
322359,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,40,NULL
322365,"MILK, SKIM ",NULL,0.11,NULL,NULL,NULL,NULL,NULL
322375,"MILK, SKIM ",NULL,0.05,NULL,NULL,NULL,NULL,NULL
322381,"MILK, SKIM ",NULL,0.08,NULL,NULL,NULL,NULL,NULL
322384,"MILK, SKIM ",NULL,0.11,NULL,NULL,NULL,NULL,NULL
322388,"MILK, SKIM ",NULL,0.04,NULL,NULL,NULL,NULL,NULL
322394,"MILK, SKIM ",NULL,0.1,NULL,NULL,NULL,NULL,NULL
322400,"MILK, SKIM ",NULL,0.1,NULL,NULL,NULL,NULL,NULL
322406,"MILK, SKIM ",NULL,0.1,NULL,NULL,NULL,NULL,NULL
322412,"MILK, SKIM ",NULL,0.05,NULL,NULL,NULL,NULL,NULL
322420,"MILK, SKIM ",NULL,0.08,NULL,NULL,NULL,NULL,NULL
322426,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,39,NULL
322441,"MILK, SKIM ",NULL,0.15,NULL,NULL,NULL,NULL,NULL
322452,"MILK, SKIM ",NULL,0.06,NULL,NULL,NULL,NULL,NULL
322458,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,46,NULL
